Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
24/02/2016,206.4239502,207.7023779,204.1162598,204.7446542,15186204
25/02/2016,204.5712738,207.2689983,203.8670567,206.7597912,24826958
26/02/2016,205.9255829,207.7457339,204.614639,206.4997934,8349402
29/02/2016,209.4575195,215.5138362,202.5994663,206.1314148,31032353
01/03/2016,212.6319275,213.4444979,209.0241419,209.0349757,16453192
02/03/2016,217.0089569,217.9298663,213.9212122,215.1454704,20105967
03/03/2016,219.4682922,220.5842114,216.142188,218.8507318,15880459
04/03/2016,218.070694,219.9341804,217.4423141,219.7174882,8987660
08/03/2016,222.5343933,223.379451,218.3090471,218.3090471,13222993
09/03/2016,225.7196503,226.1963558,220.7142496,221.0176129,11854901
10/03/2016,219.2299652,226.6297274,218.6340869,225.7954892,20706353
11/03/2016,219.8258362,223.0869375,218.9807785,219.9125217,15319044
14/03/2016,220.9634094,222.4043452,219.4899575,220.8225544,11880095
15/03/2016,221.125946,222.7185709,219.9558573,221.8843326,10487788
16/03/2016,221.3967743,222.274348,217.8648406,221.234266,11064129
17/03/2016,222.6295929,227.2092775,221.7530942,225.0399571,16832997
18/03/2016,225.0837708,225.7301816,222.563848,223.1226119,14030979
21/03/2016,227.2969208,228.217243,224.1086754,225.2481149,12708074
22/03/2016,229.6086578,230.5727888,226.9353385,227.2311616,15333442
23/03/2016,225.5220337,229.4005135,224.0319917,229.4005135,16806372
28/03/2016,223.5937042,226.0698032,222.5528676,225.6972891,18070240
29/03/2016,227.0668335,228.3267875,223.5498976,224.3387347,15871250
30/03/2016,229.4333801,230.463261,228.4801903,228.4801903,14453294
31/03/2016,229.0279999,231.3945406,226.2889596,228.1076923,30833349
01/04/2016,226.6724091,229.2690228,224.6016916,227.691334,12381116
04/04/2016,226.8038788,228.3706117,224.6674261,227.8885389,8632568
05/04/2016,225.0289764,228.4144271,223.9881398,225.993122,10259495
06/04/2016,226.5190277,227.1654385,224.0757961,226.1574695,6990781
07/04/2016,227.285965,229.6415498,223.9662491,226.7710245,8789163
08/04/2016,227.0887451,231.0548715,225.9602615,226.9901277,13411752
11/04/2016,227.9542542,229.0937082,226.3546538,227.2311523,10308361
12/04/2016,229.5100555,231.7122581,227.4612498,227.9542784,11164859
13/04/2016,233.5967102,234.4403413,230.6385528,230.6385528,16038542
18/04/2016,233.3118591,233.7610643,231.2630534,233.5419324,19065716
20/04/2016,227.2969208,234.2869694,226.9682301,234.2869694,21687934
21/04/2016,228.140564,230.518046,226.7929482,228.1953433,11380697
22/04/2016,227.6584473,229.5319443,225.5439065,227.6694031,11705087
25/04/2016,222.8267975,228.8636564,221.8188283,228.8636564,61157544
26/04/2016,222.837738,224.3606475,220.7670206,222.4981061,26429236
27/04/2016,223.3745728,224.8098352,222.6295592,223.0458968,14502641
28/04/2016,218.4004822,223.3307539,217.1405136,222.1913145,61949033
29/04/2016,215.3327789,218.8058916,214.4891478,217.6883491,23479680
02/05/2016,216.2640381,217.4582569,214.3028793,214.5219967,10620873
03/05/2016,213.8208008,218.0170149,213.1524783,216.4941055,17571826
04/05/2016,214.3247986,215.551885,213.2072708,213.437344,13546285
05/05/2016,213.7002716,215.4970776,212.747082,214.7411082,21665684
06/05/2016,212.3197937,214.0399086,211.8925003,213.2072481,14748329
09/05/2016,215.4204102,216.0558651,213.1634429,213.6455157,15347096
10/05/2016,215.299881,215.7709979,214.3028679,215.4203955,7248302
11/05/2016,213.7331696,214.9054767,212.5498919,212.9443178,12339923
12/05/2016,217.5458984,217.8526773,213.6564632,213.8646247,12786216
13/05/2016,214.3357391,217.0528673,213.6455049,216.7022649,14648291
16/05/2016,213.8536835,215.288946,212.790935,214.0837567,9327335
17/05/2016,212.3636322,215.420407,211.750089,214.7959079,12157600
18/05/2016,212.6703949,213.0976737,211.2570442,211.6514701,8228838
19/05/2016,208.4303589,212.9662196,207.2032725,212.9223961,9134784
20/05/2016,204.7052765,209.1534906,204.0807774,208.6056826,18544619
23/05/2016,203.7849274,206.129556,202.8317377,205.3954837,18365734
24/05/2016,206.0747833,206.8526645,203.3576405,203.3576405,12283217
25/05/2016,208.4303589,208.7809613,206.228171,208.1345505,9240115
26/05/2016,207.4771729,208.693318,206.8745855,208.1674218,14190024
27/05/2016,213.5797577,214.0618305,207.8935018,207.959237,13401594
30/05/2016,212.2650146,215.0697896,211.4542513,213.952262,9633652
31/05/2016,209.8875427,213.2072731,209.5917343,212.3307744,23332727
01/06/2016,208.9562378,211.6952922,208.5618266,209.9094274,9042808
02/06/2016,209.536911,209.7341312,207.0936943,209.1534557,10253825
03/06/2016,210.2819366,210.9940826,209.4492616,210.3586277,8643295
06/06/2016,209.219223,211.0160293,208.7261943,210.5777799,8672842
07/06/2016,209.2740173,210.5668391,208.5180331,209.7560902,18954268
08/06/2016,209.0658417,209.920414,207.9811669,209.920414,12135516
09/06/2016,212.8018951,213.9632464,209.5259882,210.3586634,15643495
10/06/2016,214.0180054,215.7052674,212.1773758,213.4263739,16316760
13/06/2016,214.9821625,215.4971029,211.0269773,212.527975,10214469
14/06/2016,213.9194031,215.9243852,212.3964937,214.9492838,10923848
15/06/2016,215.7490997,216.1654227,213.3716034,214.7411307,11129082
